# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Full Version
# File: D:\Altera DE2-35\DE2_v2.0.4_SystemCD\DE2_demonstrations\DE2_Default\DE2_Default.csv
# Generated on: Mon Nov 26 19:49:00 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Differential Pair
VGA_DAC_RED[6],Unknown,PIN_H11,3,B3_N0,,,,
VGA_DAC_RED[7],Unknown,PIN_H12,3,B3_N0,,,,
VGA_DAC_RED[8],Unknown,PIN_F11,3,B3_N0,,,,
VGA_DAC_RED[9],Unknown,PIN_E10,3,B3_N0,,,,
VGA_DAC_GREEN[0],Unknown,PIN_B9,3,B3_N0,,,,
VGA_DAC_GREEN[1],Unknown,PIN_A9,3,B3_N0,,,,
VGA_DAC_GREEN[2],Unknown,PIN_C10,3,B3_N0,,,,
VGA_DAC_GREEN[3],Unknown,PIN_D10,3,B3_N0,,,,
VGA_DAC_GREEN[4],Unknown,PIN_B10,3,B3_N0,,,,
VGA_DAC_GREEN[5],Unknown,PIN_A10,3,B3_N0,,,,
VGA_DAC_GREEN[6],Unknown,PIN_G11,3,B3_N0,,,,
VGA_DAC_GREEN[7],Unknown,PIN_D11,3,B3_N0,,,,
VGA_DAC_GREEN[8],Unknown,PIN_E12,3,B3_N0,,,,
VGA_DAC_GREEN[9],Unknown,PIN_D12,3,B3_N0,,,,
VGA_DAC_BLUE[0],Unknown,PIN_J13,3,B3_N0,,,,
VGA_DAC_BLUE[1],Unknown,PIN_J14,3,B3_N0,,,,
VGA_DAC_BLUE[2],Unknown,PIN_F12,3,B3_N0,,,,
VGA_DAC_BLUE[3],Unknown,PIN_G12,3,B3_N0,,,,
VGA_DAC_BLUE[4],Unknown,PIN_J10,3,B3_N0,,,,
VGA_DAC_BLUE[5],Unknown,PIN_J11,3,B3_N0,,,,
VGA_DAC_BLUE[6],Unknown,PIN_C11,3,B3_N0,,,,
VGA_DAC_BLUE[7],Unknown,PIN_B11,3,B3_N0,,,,
VGA_DAC_BLUE[8],Unknown,PIN_C12,3,B3_N0,,,,
VGA_DAC_BLUE[9],Unknown,PIN_B12,3,B3_N0,,,,
VGA_DAC_CLOCK,Unknown,PIN_B8,3,B3_N0,,,,
VGA_DAC_BLANK_N,Unknown,PIN_D6,3,B3_N1,,,,
VGA_HS,Unknown,PIN_A7,3,B3_N1,,,,
VGA_VS,Unknown,PIN_D8,3,B3_N1,,,,
VGA_DAC_SYNC_N,Unknown,PIN_B7,3,B3_N1,,,,

AV_I2C_SCLK,Output,PIN_A6,3,B3_N1,PIN_A6,,,,
AV_I2C_SDAT,Bidir,PIN_B6,3,B3_N1,PIN_B6,,,,

AUD_ADCLRCK,Unknown,PIN_C5,3,B3_N1,3.3-V LVTTL,,,
AUD_ADCDAT,Unknown,PIN_B5,3,B3_N1,3.3-V LVTTL,,,
AUD_DACLRCK,Unknown,PIN_C6,3,B3_N1,3.3-V LVTTL,,,
AUD_DACDAT,Unknown,PIN_A4,3,B3_N1,3.3-V LVTTL,,,
AUD_XCK,Unknown,PIN_A5,3,B3_N1,3.3-V LVTTL,,,
AUD_BCLK,Unknown,PIN_B4,3,B3_N1,3.3-V LVTTL,,,

RAM_ADDRESS[0],Unknown,PIN_AE4,8,B8_N1,,,,
RAM_ADDRESS[1],Unknown,PIN_AF4,8,B8_N1,,,,
RAM_ADDRESS[2],Unknown,PIN_AC5,8,B8_N1,,,,
RAM_ADDRESS[3],Unknown,PIN_AC6,8,B8_N1,,,,
RAM_ADDRESS[4],Unknown,PIN_AD4,8,B8_N1,,,,
RAM_ADDRESS[5],Unknown,PIN_AD5,8,B8_N1,,,,
RAM_ADDRESS[6],Unknown,PIN_AE5,8,B8_N1,,,,
RAM_ADDRESS[7],Unknown,PIN_AF5,8,B8_N1,,,,
RAM_ADDRESS[8],Unknown,PIN_AD6,8,B8_N1,,,,
RAM_ADDRESS[9],Unknown,PIN_AD7,8,B8_N1,,,,
RAM_ADDRESS[10],Unknown,PIN_V10,8,B8_N1,,,,
RAM_ADDRESS[11],Unknown,PIN_V9,8,B8_N1,,,,
RAM_ADDRESS[12],Unknown,PIN_AC7,8,B8_N1,,,,
RAM_ADDRESS[13],Unknown,PIN_W8,8,B8_N1,,,,
RAM_ADDRESS[14],Unknown,PIN_W10,8,B8_N1,,,,
RAM_ADDRESS[15],Unknown,PIN_Y10,8,B8_N1,,,,
RAM_ADDRESS[16],Unknown,PIN_AB8,8,B8_N1,,,,
RAM_ADDRESS[17],Unknown,PIN_AC8,8,B8_N1,,,,
RAM_DATA0[0],Unknown,PIN_AD8,8,B8_N1,,,,
RAM_DATA0[1],Unknown,PIN_AE6,8,B8_N1,,,,
RAM_DATA0[2],Unknown,PIN_AF6,8,B8_N1,,,,
RAM_DATA0[3],Unknown,PIN_AA9,8,B8_N1,,,,
RAM_DATA0[4],Unknown,PIN_AA10,8,B8_N1,,,,
RAM_DATA0[5],Unknown,PIN_AB10,8,B8_N1,,,,
RAM_DATA0[6],Unknown,PIN_AA11,8,B8_N1,,,,
RAM_DATA0[7],Unknown,PIN_Y11,8,B8_N1,,,,
RAM_DATA0[8],Unknown,PIN_AE7,8,B8_N1,,,,
RAM_DATA0[9],Unknown,PIN_AF7,8,B8_N1,,,,
RAM_DATA0[10],Unknown,PIN_AE8,8,B8_N0,,,,
RAM_DATA0[11],Unknown,PIN_AF8,8,B8_N0,,,,
RAM_DATA0[12],Unknown,PIN_W11,8,B8_N0,,,,
RAM_DATA0[13],Unknown,PIN_W12,8,B8_N0,,,,
RAM_DATA0[14],Unknown,PIN_AC9,8,B8_N0,,,,
RAM_DATA0[15],Unknown,PIN_AC10,8,B8_N0,,,,
RAM_RW_N,Unknown,PIN_AE10,8,B8_N0,,,,
RAM_OE_N,Unknown,PIN_AD10,8,B8_N0,,,,
RAM0_BE1_N,Unknown,PIN_AF9,8,B8_N0,,,,
RAM0_BE0_N,Unknown,PIN_AE9,8,B8_N0,,,,
RAM0_CS_N,Unknown,PIN_AC11,8,B8_N0,,,,

FL_ADDRESS[0],Unknown,PIN_AC18,7,B7_N0,,,,
FL_ADDRESS[1],Unknown,PIN_AB18,7,B7_N0,,,,
FL_ADDRESS[2],Unknown,PIN_AE19,7,B7_N1,,,,
FL_ADDRESS[3],Unknown,PIN_AF19,7,B7_N1,,,,
FL_ADDRESS[4],Unknown,PIN_AE18,7,B7_N1,,,,
FL_ADDRESS[5],Unknown,PIN_AF18,7,B7_N1,,,,
FL_ADDRESS[6],Unknown,PIN_Y16,7,B7_N1,,,,
FL_ADDRESS[7],Unknown,PIN_AA16,7,B7_N1,,,,
FL_ADDRESS[8],Unknown,PIN_AD17,7,B7_N1,,,,
FL_ADDRESS[9],Unknown,PIN_AC17,7,B7_N1,,,,
FL_ADDRESS[10],Unknown,PIN_AE17,7,B7_N1,,,,
FL_ADDRESS[11],Unknown,PIN_AF17,7,B7_N1,,,,
FL_ADDRESS[12],Unknown,PIN_W16,7,B7_N1,,,,
FL_ADDRESS[13],Unknown,PIN_W15,7,B7_N1,,,,
FL_ADDRESS[14],Unknown,PIN_AC16,7,B7_N1,,,,
FL_ADDRESS[15],Unknown,PIN_AD16,7,B7_N1,,,,
FL_ADDRESS[16],Unknown,PIN_AE16,7,B7_N1,,,,
FL_ADDRESS[17],Unknown,PIN_AC15,7,B7_N1,,,,
FL_ADDRESS[18],Unknown,PIN_AB15,7,B7_N1,,,,
FL_ADDRESS[19],Unknown,PIN_AA15,7,B7_N1,,,,
FL_ADDRESS[20],Unknown,PIN_Y15,7,B7_N1,3.3-V LVTTL,,,
FL_ADDRESS[21],Unknown,PIN_Y14,7,B7_N1,3.3-V LVTTL,,,
FLASH_CE_N,Unknown,PIN_V17,7,B7_N0,,,,
FLASH_OE_N,Unknown,PIN_W17,7,B7_N0,,,,
FLASH_DATA[0],Unknown,PIN_AD19,7,B7_N0,,,,
FLASH_DATA[1],Unknown,PIN_AC19,7,B7_N0,,,,
FLASH_DATA[2],Unknown,PIN_AF20,7,B7_N0,,,,
FLASH_DATA[3],Unknown,PIN_AE20,7,B7_N0,,,,
FLASH_DATA[4],Unknown,PIN_AB20,7,B7_N0,,,,
FLASH_DATA[5],Unknown,PIN_AC20,7,B7_N0,,,,
FLASH_DATA[6],Unknown,PIN_AF21,7,B7_N0,,,,
FLASH_DATA[7],Unknown,PIN_AE21,7,B7_N0,,,,
FLASH_RESET_N,Unknown,PIN_AA18,7,B7_N0,,,,
FLASH_WE_N,Unknown,PIN_AA17,7,B7_N0,,,,

